Year,Age_Group,Old_Pension,Disability_Lsp,Disability_Pension,Survivor_Pension,Return_Lsp,Death_Lsp
2012,5-,0,0,0,116,29,0
2012,5~9,0,0,0,1409,110,5
2012,10~14,0,0,0,5045,480,36
2012,15~19,0,0,0,8630,975,248
2012,20~24,0,12,35,222,1921,1605
2012,25~29,0,77,416,579,10660,2296
2012,30~34,0,186,1895,2167,17149,2001
2012,35~39,0,275,3982,6538,14871,872
2012,40~44,0,373,6933,17103,12223,805
2012,45~49,0,515,9609,30017,7368,1595
2012,50~54,0,711,14743,56682,6045,2748
2012,55~59,148707,636,15806,73240,4049,2403
2012,60~64,985862,77,11205,83897,99211,1192
2012,65~69,840903,0,7138,82488,472,817
2012,70~74,558476,0,3339,75678,364,695
2012,75~79,183403,0,734,36641,350,523
2012,80+,31104,0,99,15621,254,394
2013,5-,0,0,0,110,18,5
2013,5~9,0,0,0,1331,97,9
2013,10~14,0,0,0,4602,413,16
2013,15~19,0,0,0,10693,958,147
2013,20~24,0,18,27,236,1944,1592
2013,25~29,0,70,364,567,8316,2242
2013,30~34,0,199,1764,2172,12064,2052
2013,35~39,0,282,3592,5877,9811,785
2013,40~44,0,386,6607,16173,9261,800
2013,45~49,0,495,9319,30452,6870,1449
2013,50~54,0,794,14291,55629,6539,2581
2013,55~59,124139,662,16092,77535,4393,2431
2013,60~64,905608,85,10478,87119,118025,1300
2013,65~69,913122,2,7592,91252,490,884
2013,70~74,638446,0,3874,86290,363,755
2013,75~79,210033,0,906,46109,385,543
2013,80+,49312,0,135,20014,286,434
2014,5-,0,0,0,123,21,3
2014,5~9,0,0,0,1281,100,16
2014,10~14,0,0,0,4264,401,38
2014,15~19,0,0,0,11449,897,222
2014,20~24,0,12,35,341,1716,1783
2014,25~29,0,72,293,573,6461,2525
2014,30~34,0,169,1550,2118,9478,2348
2014,35~39,0,215,3314,5506,7973,943
2014,40~44,0,341,6355,15054,7450,887
2014,45~49,0,470,9120,29984,6335,1798
2014,50~54,0,680,13560,53642,5791,2928
2014,55~59,102150,589,16486,81124,3914,2987
2014,60~64,864088,101,11040,91249,94821,1679
2014,65~69,953739,2,7930,99920,598,984
2014,70~74,693004,0,4374,95174,356,904
2014,75~79,261956,0,1133,57595,351,606
2014,80+,72485,0,197,26309,372,568
2015,5-,0,0,0,134,22,0
2015,5~9,0,0,0,1304,134,12
2015,10~14,0,0,0,3938,401,35
2015,15~19,0,2,0,11146,954,199
2015,20~24,0,12,35,337,1723,2035
2015,25~29,0,55,256,585,8041,2813
2015,30~34,0,152,1359,1978,11715,2596
2015,35~39,0,220,3141,5261,9667,1061
2015,40~44,0,346,5960,13934,7610,971
2015,45~49,0,441,8899,29078,5993,1877
2015,50~54,0,586,12867,50617,5498,3102
2015,55~59,82552,656,16667,82855,3906,3587
2015,60~64,927255,123,11792,98481,122832,2198
2015,65~69,993003,4,8275,110518,1106,1214
2015,70~74,721673,0,4701,103219,328,917
2015,75~79,322994,0,1437,68842,405,715
2015,80+,103872,0,299,34857,370,617
2016,5-,0,0,0,122,19,1
2016,5~9,0,0,0,1285,119,21
2016,10~14,0,0,0,3813,329,33
2016,15~19,0,0,0,10390,971,248
2016,20~24,0,16,26,361,1911,2107
2016,25~29,0,54,233,587,9519,2763
2016,30~34,0,137,1173,1859,13377,2583
2016,35~39,0,193,2994,5121,11083,1275
2016,40~44,0,321,5553,12743,8124,1053
2016,45~49,0,402,8777,28666,6809,1998
2016,50~54,0,566,12115,47448,6610,3512
2016,55~59,66404,717,17126,84744,4772,4245
2016,60~64,1053161,170,12119,105793,142481,2615
2016,65~69,1006518,1,8051,117901,1074,1500
2016,70~74,751023,0,5081,110161,400,997
2016,75~79,397436,0,1842,82756,536,866
2016,80+,137808,0,407,45374,486,761
2017,5-,0,0,0,120,22,1
2017,5~9,0,0,0,1282,98,3
2017,10~14,0,0,0,3742,329,21
2017,15~19,0,1,0,9881,908,117
2017,20~24,0,17,27,2334,2718,644
2017,25~29,0,53,237,811,8600,1937
2017,30~34,0,151,1027,1752,11522,2077
2017,35~39,0,231,2982,5148,10026,1114
2017,40~44,0,309,5249,11891,7506,836
2017,45~49,0,464,8635,27762,7396,1852
2017,50~54,0,609,11583,46778,7395,3176
2017,55~59,47295,859,17405,84450,5733,3806
2017,60~64,1140588,222,11953,108006,137545,2629
2017,65~69,1052891,0,7972,124293,1315,1368
2017,70~74,793464,0,5558,117501,620,967
2017,75~79,500150,0,2333,101447,889,882
2017,80+,172128,0,525,58421,827,810
2018,5-,0,0,0,105,9,4
2018,5~9,0,0,0,1305,73,4
2018,10~14,0,0,0,3827,221,19
2018,15~19,0,0,0,9277,707,46
2018,20~24,0,18,43,6860,2548,149
2018,25~29,0,47,238,1337,8836,1736
2018,30~34,0,146,949,1694,11384,2038
2018,35~39,0,239,2908,5174,10425,1131
2018,40~44,0,353,4907,10919,7374,656
2018,45~49,0,525,8537,26421,6217,1689
2018,50~54,0,603,11592,47228,5761,2815
2018,55~59,36863,883,17122,82497,4890,3536
2018,60~64,1025521,254,12434,113180,99126,2596
2018,65~69,1070713,4,7678,127776,1220,1386
2018,70~74,864423,0,5940,129697,280,948
2018,75~79,573649,0,2751,115108,440,818
2018,80+,207655,0,635,74020,456,783
2019,5-,0,0,0,116,24,0
2019,5~9,0,0,0,1288,125,0
2019,10~14,0,0,0,3790,304,6
2019,15~19,0,0,0,8780,729,16
2019,20~24,0,14,49,10570,3133,36
2019,25~29,0,47,231,1914,8545,1797
2019,30~34,0,97,855,1653,10297,2059
2019,35~39,0,211,2729,4913,8799,1180
2019,40~44,0,308,4719,10268,5981,675
2019,45~49,0,427,8458,24620,5536,1559
2019,50~54,0,667,11804,46457,5817,2852
2019,55~59,31287,877,17054,79155,5463,3802
2019,60~64,1095563,376,14333,117458,130647,2988
2019,65~69,1163199,4,7416,132760,1776,1634
2019,70~74,907933,0,6245,141696,457,1068
2019,75~79,624723,0,3155,128023,551,883
2019,80+,267792,0,824,94792,667,954
2020,5-,0,0,0,94,20,0
2020,5~9,0,0,0,1254,142,4
2020,10~14,0,0,0,3779,302,1
2020,15~19,0,0,0,7905,781,15
2020,20~24,0,7,47,13674,2753,22
2020,25~29,0,58,269,2337,6348,1871
2020,30~34,0,101,853,1625,6917,2174
2020,35~39,0,207,2577,4579,6321,1267
2020,40~44,0,303,4695,9905,4617,637
2020,45~49,0,380,8089,22942,3425,1574
2020,50~54,0,644,11838,44877,3906,3039
2020,55~59,23913,811,16501,74794,4008,4133
2020,60~64,1171626,393,14857,118684,142760,3473
2020,65~69,1326110,0,7348,141603,2314,1771
2020,70~74,950838,0,6502,155173,469,1110
2020,75~79,653442,0,3404,137825,579,913
2020,80+,342197,0,1099,116648,760,972
2021,5-,0,0,0,82,17,0
2021,5~9,0,0,0,1198,148,3
2021,10~14,0,0,0,3744,366,1
2021,15~19,0,0,0,7531,743,9
2021,20~24,0,18,41,16064,2604,18
2021,25~29,0,58,250,2758,5513,2048
2021,30~34,0,103,834,1555,6509,2321
